=== PER FRAME DETECTION RESULTS ===
frame_idx,fps,latency_ms,num_objects,track_id,class_name,threat_score,threat_level,speed_mps,proximity_m
195,4.29,261.31,1,13,harbor,0.0311,LOW,7.37,495.15
196,4.33,222.9,1,13,harbor,0.0311,LOW,7.37,495.12
197,4.34,221.54,1,13,harbor,0.0311,LOW,7.38,495.08
198,4.33,278.8,1,13,harbor,0.031,LOW,7.34,495.04
199,4.39,235.3,1,13,harbor,0.031,LOW,7.34,495.0
226,4.27,285.62,1,14,harbor,0.0183,LOW,0.0,497.85
227,4.19,364.18,1,14,harbor,0.0294,LOW,6.95,498.04
228,4.19,269.59,1,14,harbor,0.026,LOW,5.15,498.1
229,4.19,237.14,1,14,harbor,0.025,LOW,4.56,498.17
230,4.19,232.49,1,14,harbor,0.0245,LOW,4.26,498.23
231,4.12,334.23,1,14,harbor,0.0242,LOW,4.08,498.29
232,4.08,302.54,1,14,harbor,0.0239,LOW,3.96,498.35
233,4.02,316.32,1,14,harbor,0.0238,LOW,3.88,498.42
234,4.03,223.83,1,14,harbor,0.0237,LOW,3.81,498.47
235,4.02,225.57,1,14,harbor,0.0236,LOW,3.77,498.53
236,4.01,225.78,1,14,harbor,0.0235,LOW,3.73,498.59
237,4.02,216.96,1,14,harbor,0.0234,LOW,3.69,498.65
238,4.02,220.77,1,14,harbor,0.0234,LOW,3.67,498.7
239,4.02,217.48,1,14,harbor,0.0233,LOW,3.64,498.75
240,4.04,213.96,1,14,harbor,0.0233,LOW,3.63,498.81
241,4.05,217.79,1,14,harbor,0.0233,LOW,3.61,498.86
242,4.0,295.44,1,14,harbor,0.0232,LOW,3.59,498.91
243,4.01,218.61,1,14,harbor,0.0232,LOW,3.58,498.96
244,3.97,291.46,1,14,harbor,0.0232,LOW,3.57,499.01
245,3.92,318.75,1,14,harbor,0.0232,LOW,3.56,499.05
246,3.92,216.61,1,14,harbor,0.0231,LOW,3.55,499.1
247,3.91,259.95,1,14,harbor,0.0231,LOW,3.54,499.14
